question_id,solver_item_id,solver_difficulty_meta,solver_platform,solver_difficulty_centered,solver_difficulty_centered_laplace_se,solver_scores,judge_difficulty_centered,judge_difficulty_centered_laplace_se,judge_difficulty_pair_sd,judge_n_pair_items,judge_scores
3558,3558,medium,leetcode,6.556765079498291,27.546213150024414,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",4.900655642151833,2.1262614164286564,7.404715703885659,4,"{'claude_haiku_4_5': 0.25, 'mistral_14b': 0.5, 'mistral_3b': 0.5, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.5, 'qwen3_5_27b': 0.75, 'qwen3_5_2b': 0.25, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.25}"
2730,2730,medium,leetcode,6.236329555511475,19.170551300048828,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",-5.927743434906006,5.298370838165283,0.0,1,"{'claude_haiku_4_5': 1.0, 'mistral_14b': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_27b': 1.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 1.0}"
3777,3777,hard,leetcode,5.868868827819824,19.359243392944336,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",0.3312568664550781,1.0662151711275514,4.62918661679343,3,"{'claude_haiku_4_5': 0.3333333333333333, 'mistral_14b': 0.6666666666666666, 'mistral_3b': 0.6666666666666666, 'mistral_8b': 1.0, 'qwen3_5_0_8b': 0.6666666666666666, 'qwen3_5_27b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0}"
2854,2854,medium,leetcode,5.806928634643555,19.40643882751465,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",1.6132779121398926,3.8357309981349834,11.68997330895401,2,"{'claude_haiku_4_5': 0.5, 'mistral_14b': 0.5, 'mistral_3b': 1.0, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 1.0, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.5}"
3771,3771,medium,leetcode,5.733614444732666,18.43132972717285,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3.6588419874509177,1.6563144186540628,6.8366571077189064,6,"{'claude_haiku_4_5': 0.3333333333333333, 'mistral_14b': 0.3333333333333333, 'mistral_3b': 0.6666666666666666, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.6666666666666666, 'qwen3_5_27b': 0.16666666666666666, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.3333333333333333, 'qwen3_5_9b': 0.16666666666666666}"
abc324_d,abc324_d,hard,atcoder,5.685416221618652,18.587867736816406,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",1.992397944132487,0.7603371772674086,3.461039169928143,3,"{'claude_haiku_4_5': 0.6666666666666666, 'mistral_14b': 1.0, 'mistral_3b': 1.0, 'mistral_8b': 0.6666666666666666, 'qwen3_5_0_8b': 1.0, 'qwen3_5_27b': 0.3333333333333333, 'qwen3_5_2b': 0.3333333333333333, 'qwen3_5_4b': 0.3333333333333333, 'qwen3_5_9b': 0.0}"
3230,3230,medium,leetcode,5.5941548347473145,16.4698543548584,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",-0.9791747331619263,1.520710641373272,2.2870387412655173,3,"{'claude_haiku_4_5': 0.6666666666666666, 'mistral_14b': 1.0, 'mistral_3b': 1.0, 'mistral_8b': 0.6666666666666666, 'qwen3_5_0_8b': 1.0, 'qwen3_5_27b': 0.6666666666666666, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 0.6666666666666666, 'qwen3_5_9b': 0.6666666666666666}"
3534,3534,medium,leetcode,5.573132514953613,17.55937957763672,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3.2194676637649535,0.7985681871079813,3.6731077788261515,5,"{'claude_haiku_4_5': 0.8, 'mistral_14b': 0.2, 'mistral_3b': 0.4, 'mistral_8b': 0.2, 'qwen3_5_0_8b': 0.6, 'qwen3_5_27b': 0.6, 'qwen3_5_2b': 0.4, 'qwen3_5_4b': 0.6, 'qwen3_5_9b': 0.6}"
3166,3166,medium,leetcode,5.5694260597229,15.39873218536377,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",2.2909766137599945,1.3156656912628804,6.862841042167769,4,"{'claude_haiku_4_5': 0.5, 'mistral_14b': 0.5, 'mistral_3b': 0.25, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.75, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.5}"
3026,3026,medium,leetcode,5.465660095214844,12.60134220123291,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",5.99534273147583,1.2848927739190281,3.649432101546554,4,"{'claude_haiku_4_5': 0.25, 'mistral_14b': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.25, 'qwen3_5_0_8b': 0.5, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.25, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.5}"
